ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
4,our,1,smoc1,29.487,2498456,2493560,2435
4,our,1,smoc2,29.508,2497808,2492904,2434
4,our,1,smoc3,29.405,2499176,2494156,2435
4,our,1,smoc4,12.254,2497560,2496032,2437
4,our,2,smoc1,29.18,2495484,2493000,2434
4,our,2,smoc2,29.254,2506408,2498752,2440
4,our,2,smoc3,29.073,2499280,2496892,2438
4,our,2,smoc4,12.203,2500320,2495292,2436
4,our,3,smoc1,28.545,2500292,2495984,2437
4,our,3,smoc2,29.099,2497160,2495636,2437
4,our,3,smoc3,28.755,2497536,2492632,2434
4,our,3,smoc4,12.663,2503676,2498772,2440
4,our,4,smoc1,29.872,2496108,2491792,2433
4,our,4,smoc2,30.219,2494896,2492412,2433
4,our,4,smoc3,30.842,2497144,2493188,2434
4,our,4,smoc4,11.539,2500420,2496104,2437
4,our,5,smoc1,28.401,2494112,2493088,2434
4,our,5,smoc2,28.701,2494700,2493268,2434
4,our,5,smoc3,28.572,2494172,2493148,2434
4,our,5,smoc4,12.537,2499412,2496028,2437
4,our,6,smoc1,28.072,2497100,2494616,2436
4,our,6,smoc2,28.331,2498908,2493880,2435
4,our,6,smoc3,28.023,2493156,2491632,2433
4,our,6,smoc4,12.822,2498916,2493896,2435
4,our,7,smoc1,29.009,2496560,2492324,2433
4,our,7,smoc2,28.916,2495080,2492596,2434
4,our,7,smoc3,28.651,2499636,2494648,2436
4,our,7,smoc4,11.787,2498840,2494524,2436
4,our,8,smoc1,30.242,2498396,2493492,2435
4,our,8,smoc2,29.968,2495284,2493848,2435
4,our,8,smoc3,30.044,2507460,2500400,2441
4,our,8,smoc4,12.877,2499588,2495020,2436
4,our,9,smoc1,29.829,2495488,2494056,2435
4,our,9,smoc2,29.334,2494448,2492924,2434
4,our,9,smoc3,29.518,2497400,2493264,2434
4,our,9,smoc4,11.473,2505740,2498044,2439
4,our,10,smoc1,28.698,2496908,2495480,2436
4,our,10,smoc2,28.723,2497824,2493528,2435
4,our,10,smoc3,28.949,2496732,2491700,2433
4,our,10,smoc4,12.297,2497184,2495004,2436
4,our,11,smoc1,12.297,2497184,2495004,2436
4,our,11,smoc2,29.378,2493796,2492272,2433
4,our,11,smoc3,29.563,2494096,2492660,2434
4,our,11,smoc4,13.167,2497100,2495668,2437
4,our,12,smoc1,32.089,2496292,2493760,2435
4,our,12,smoc2,33.367,2496848,2492540,2434
4,our,12,smoc3,32.829,2497040,2492244,2433
4,our,12,smoc4,15.687,2497412,2492516,2434
4,our,13,smoc1,36.63,2491560,2490124,2431
4,our,13,smoc2,39.5,2497360,2492492,2434
4,our,13,smoc3,38.177,2498820,2492312,2433
4,our,13,smoc4,15.548,2505996,2497684,2439
4,our,14,smoc1,30.198,2496760,2491760,2433
4,our,14,smoc2,30.891,2498072,2492168,2433
4,our,14,smoc3,30.455,2499540,2497056,2438
4,our,14,smoc4,11.871,2497644,2495384,2436
4,our,15,smoc1,30.375,2497076,2492196,2433
4,our,15,smoc2,30.154,2493380,2491852,2433
4,our,15,smoc3,30.157,2493092,2491660,2433
4,our,15,smoc4,11.662,2500280,2495376,2436
4,our,16,smoc1,28.409,2493532,2492004,2433
4,our,16,smoc2,28.627,2505732,2498076,2439
4,our,16,smoc3,28.539,2497152,2492836,2434
4,our,16,smoc4,11.804,2508932,2501872,2443
4,our,17,smoc1,29.769,2493908,2492380,2433
4,our,17,smoc2,29.97,2501800,2496952,2438
4,our,17,smoc3,29.766,2500024,2495144,2436
4,our,17,smoc4,12.762,2496204,2494676,2436
4,our,18,smoc1,29.005,2500520,2497988,2439
4,our,18,smoc2,28.183,2494576,2493148,2434
4,our,18,smoc3,28.904,2495100,2492616,2434
4,our,18,smoc4,11.831,2502004,2496756,2438
4,our,19,smoc1,28.582,2495596,2494112,2435
4,our,19,smoc2,28.562,2493940,2492512,2434
4,our,19,smoc3,28.659,2496452,2493968,2435
4,our,19,smoc4,11.808,2501476,2496160,2437
4,our,20,smoc1,29.593,2496112,2494584,2436
4,our,20,smoc2,29.901,2496200,2493664,2435
4,our,20,smoc3,29.794,2496164,2494636,2436
4,our,20,smoc4,11.365,2483920,2483228,2425
4,base,1,smoc1,29.039,2505540,2498480,2439
4,base,1,smoc2,28.831,2505780,2498456,2439
4,base,1,smoc3,28.738,2497896,2495364,2436
4,base,1,smoc4,11.007,2493080,2492816,2434
4,base,2,smoc1,28.981,2500344,2496128,2437
4,base,2,smoc2,29.309,2497144,2495712,2437
4,base,2,smoc3,29.332,2504376,2497052,2438
4,base,2,smoc4,9.971,2500448,2495420,2436
4,base,3,smoc1,30.335,2508512,2501452,2442
4,base,3,smoc2,30.633,2495364,2493936,2435
4,base,3,smoc3,30.069,2495780,2495520,2437
4,base,3,smoc4,9.886,2495064,2494040,2435
4,base,4,smoc1,29.749,2501760,2496732,2438
4,base,4,smoc2,29.792,2504548,2497488,2438
4,base,4,smoc3,29.533,2496012,2494580,2436
4,base,4,smoc4,9.839,2494660,2494660,2436
4,base,5,smoc1,28.804,2495140,2492648,2434
4,base,5,smoc2,28.957,2495144,2492760,2434
4,base,5,smoc3,29.07,2497260,2495824,2437
4,base,5,smoc4,9.778,2500248,2495400,2436
4,base,6,smoc1,29.106,2493948,2492516,2434
4,base,6,smoc2,29.193,2504608,2497284,2438
4,base,6,smoc3,29.361,2505132,2497472,2438
4,base,6,smoc4,10.322,2495176,2494568,2436
4,base,7,smoc1,29.056,2505644,2498584,2440
4,base,7,smoc2,28.951,2496528,2495100,2436
4,base,7,smoc3,28.767,2500800,2496496,2437
4,base,7,smoc4,9.715,2497480,2494932,2436
4,base,8,smoc1,28.852,2495116,2493384,2434
4,base,8,smoc2,29.196,2500040,2495028,2436
4,base,8,smoc3,29.24,2495984,2492364,2433
4,base,8,smoc4,10.077,2495764,2495068,2436
4,base,9,smoc1,28.49,2494040,2492620,2434
4,base,9,smoc2,28.729,2505652,2498328,2439
4,base,9,smoc3,28.661,2495104,2493680,2435
4,base,9,smoc4,9.687,2506368,2499700,2441
4,base,10,smoc1,29.954,2507240,2500180,2441
4,base,10,smoc2,30.246,2494472,2493048,2434
4,base,10,smoc3,30.406,2508052,2500992,2442
4,base,10,smoc4,9.428,2501392,2496488,2437
4,base,11,smoc1,31.567,2493752,2491628,2433
4,base,11,smoc2,31.084,2507324,2500264,2441
4,base,11,smoc3,31.74,2497676,2496604,2438
4,base,11,smoc4,10.979,2495900,2495576,2437
4,base,12,smoc1,29.302,2504584,2496964,2438
4,base,12,smoc2,29.58,2504716,2497392,2438
4,base,12,smoc3,29.832,2493708,2492284,2433
4,base,12,smoc4,9.98,2494148,2494148,2435
4,base,13,smoc1,30.718,2507720,2500660,2442
4,base,13,smoc2,29.853,2495436,2494008,2435
4,base,13,smoc3,29.914,2495184,2493752,2435
4,base,13,smoc4,9.868,2500152,2495264,2436
4,base,14,smoc1,29.606,2494224,2492800,2434
4,base,14,smoc2,29.518,2493476,2492052,2433
4,base,14,smoc3,29.307,2499360,2497688,2439
4,base,14,smoc4,8.819,2495760,2494736,2436
4,base,15,smoc1,29.411,2501544,2496640,2438
4,base,15,smoc2,29.316,2495656,2492016,2433
4,base,15,smoc3,29.345,2495628,2494196,2435
4,base,15,smoc4,9.757,2495364,2493840,2435
4,base,16,smoc1,29.717,2496088,2494664,2436
4,base,16,smoc2,30.153,2499388,2494492,2436
4,base,16,smoc3,29.859,2506764,2499440,2440
4,base,16,smoc4,10.66,2493984,2493984,2435
4,base,17,smoc1,29.183,2497256,2494772,2436
4,base,17,smoc2,29.193,2496676,2495248,2436
4,base,17,smoc3,29.215,2497112,2492232,2433
4,base,17,smoc4,9.883,2495100,2494048,2435
4,base,18,smoc1,29.453,2497064,2495636,2437
4,base,18,smoc2,29.467,2496608,2495172,2436
4,base,18,smoc3,29.324,2497068,2495996,2437
4,base,18,smoc4,9.881,2499216,2495376,2436
4,base,19,smoc1,30.888,2507932,2500872,2442
4,base,19,smoc2,31.675,2501644,2496828,2438
4,base,19,smoc3,31.427,2507008,2499952,2441
4,base,19,smoc4,10.128,2494364,2494084,2435
4,base,20,smoc1,31.732,2496212,2494784,2436
4,base,20,smoc2,31.988,2501720,2495772,2437
4,base,20,smoc3,31.989,2499564,2494660,2436
4,base,20,smoc4,11.054,2494800,2493728,2435